Tinh_Thanh,Ngay_Thang,Nhiet_Do,Do_Am,Gio_kph,Mua_mm,Chi_So_UV
Tan Uyen,3/6/2026 2:00,24.3,93,3.9,0,0
Tan Uyen,3/6/2026 3:00,23.8,95,4.8,0,0
Tan Uyen,3/6/2026 4:00,23.4,95,4.1,0,0
Tan Uyen,3/6/2026 5:00,23.3,95,4.3,0,0
Tan Uyen,3/6/2026 6:00,23.3,94,2.8,0,0
Tan Uyen,3/6/2026 7:00,23.9,93,2.9,0,0.3
Tan Uyen,3/6/2026 8:00,25.7,84,5.8,0,1.75
Tan Uyen,3/6/2026 9:00,27.4,76,6.9,0,3.95
Tan Uyen,3/6/2026 10:00,28.5,71,5.6,0,6.2
Tan Uyen,3/6/2026 11:00,29.2,70,4.7,0.2,7.95
Tan Uyen,3/6/2026 12:00,29.8,68,4.8,0.2,8.9
Tan Uyen,3/6/2026 13:00,30.1,67,7.2,0.1,8.95
Tan Uyen,3/6/2026 14:00,30.5,66,7.1,0.2,6.35
Tan Uyen,3/6/2026 15:00,29.9,69,7.4,0.5,2.7
Tan Uyen,3/6/2026 16:00,30,67,6.9,0.1,4.35
Tan Uyen,3/6/2026 17:00,29.4,68,6.9,0.1,2.1
Tan Uyen,3/6/2026 18:00,28.5,71,5.4,0.1,0.4
Tan Uyen,3/6/2026 19:00,27.6,79,1.9,0.1,0
Tan Uyen,3/6/2026 20:00,26.1,87,5.9,3,0
Tan Uyen,3/6/2026 21:00,25.1,92,8.8,3.2,0
Tan Uyen,3/6/2026 22:00,24.5,90,8.2,1.2,0
Tan Uyen,3/6/2026 23:00,23.9,91,6.3,0.6,0
Tan Uyen,3/7/2026 0:00,23.5,94,4.2,0,0
Tan Uyen,3/7/2026 1:00,23.5,94,2.2,0,0
Tan Uyen,3/7/2026 2:00,23.3,94,0.7,0,0
Tan Uyen,3/7/2026 3:00,23.2,94,1.1,0,0
Tan Uyen,3/7/2026 4:00,22.9,95,0.7,0,0
Tan Uyen,3/7/2026 5:00,22.8,96,1,0,0
Tan Uyen,3/7/2026 6:00,22.6,97,1.8,0,0
Tan Uyen,3/7/2026 7:00,23.3,96,2.1,0,0.3
Tan Uyen,3/7/2026 8:00,24.9,90,4.2,0,1.8
Tan Uyen,3/7/2026 9:00,26.6,81,6.4,0,4
Tan Uyen,3/7/2026 10:00,28,76,5.2,0.1,6.2
